,Montante (1) Valorizacao,% Valorizacao,N. Part.,% N. Participacoes
Fluxos de caixa descontados (DCF),11563,6.93%,80,37.91%
Fluxos de caixa descontados (DCF + factor de desconto),12498,7.49%,21,9.95%
Valor de aquisicao,25285,15.15%,50,23.70%
NAV,50559,30.29%,17,8.06%
Preco de mercado,12093,7.24%,15,7.11%
Preco de mercado (com aplicacao do factor de desconto),109,0.07%,1,0.47%
Multiplos,16288,9.76%,7,3.32%
Multiplos (com aplicacao do factor de desconto),34484,20.66%,9,4.27%
Outros (2),60,0.04%,6,2.84%
Transaccoes relevantes,4004,2.40%,5,2.37%
Transaccoes relevantes (com aplicacao do factor de desconto),,0.00%,,0.00%
Total,166943,100.00%,211,100.00%
