,Investimentos (1) 12/1/2006,N. Part. 12/1/2006,Investimentos (1) 6/1/2007,N. Part. 6/1/2007,Investimentos (1) Dec-07,N. Part. Dec-07,(2) %
"Actividades imobiliarias, ​alugueres e servicos prestados as empresas",32412,69,42373,72,55384,73,33.18%
Actividades financeiras,39681,14,49104,21,28855,14,17.28%
"Outras actividades de servicos colectivos, sociais e pessoais",8454,16,7880,19,20186,15,12.09%
Industrias transformadoras​,27801,39,35107,38,18019,39,10.79%
"Comercio por grosso e a retalho; reparacao de veiculos automoveis, motociclos e de bens de uso pessoal e domestico",3741,15,11755,21,11831,22,7.09%
Construcao,6468,1,10794,1,10044,4,6.02%
Alojamento e restauracao (restaurantes e similares) ,2488,6,4618,7,5856,10,3.51%
Industrias extractivas,489,1,,,5253,4,3.15%
"Agricultura, producao animal, caca e silvicultura",4680,1,4840,4,4865,4,2.91%
Outros sectores nao identificados (3),12513,21,1223,8,2876,12,1.72%
Saude e accao social,1835,4,1649,4,1823,5,1.09%
"Transportes, armazenagem e comunicacoes",222,4,1044,6,915,6,0.55%
"Producao e distribuicao de electricidade, gas e agua ",,,,,845,1,0.51%
Pesca,187,4,189,2,192,2,0.12%
Total,140971,195,170576,203,166944,211,100.00%
