,Investimentos (1) 12/1/2006,N. Part. 12/1/2006,Investimentos (1) 6/1/2007,N. Part. 6/1/2007,Investimentos (1) Dec-07,N. Part. Dec-07,(2) %
"Actividades imobiliarias, ​alugueres e servicos prestados as empresas",214475,198,240051,207,331280,224,55.59%
Industrias transformadoras,141278,123,147705,118,147352,116,24.73%
"Comercio por grosso e a retalho; reparacao de veiculos automoveis, motociclos e de bens de uso pessoal e domestico",25655,47,36741,59,36404,66,6.11%
"Producao e distribuicao de electricidade, gas e agua ",14255,2,13588,2,16036,5,2.69%
"Outras actividades de servicos colectivos, sociais e pessoais",9524,13,10330,13,15399,19,2.58%
Outros sectores nao identificados (3),15044,17,12500,14,14576,17,2.45%
Saude e accao social,10364,8,10272,7,13119,10,2.20%
Alojamento e restauracao (restaurantes e similares) ,7955,13,11690,17,12431,18,2.09%
"Transportes, armazenagem e comunicacoes",4919,10,3939,10,3658,11,0.61%
Construcao,1766,6,2063,6,2360,6,0.40%
Actividades financeiras,286,4,285,4,2172,4,0.36%
Pesca,,,846,3,971,3,0.16%
Educacao,250,3,250,3,156,3,0.03%
"Agricultura, producao animal, caca e silvicultura",550,4,496,4,34,4,0.01%
Total,446321,448,490756,467,595948,506,100.00%
